Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bin Location (product.metafields.custom.bin_location),Box Location (product.metafields.custom.box_location),Language (product.metafields.custom.language),London Code  (product.metafields.custom.londoncode),Notes  (product.metafields.custom.notes),Old Location (product.metafields.custom.product_locate),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),EasyScan Product Bin Location (product.metafields.my_fields.bin_location),Board game mechanics (product.metafields.shopify.board-game-mechanics),Book cover type (product.metafields.shopify.book-cover-type),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Difficulty level (product.metafields.shopify.difficulty-level),Frame style (product.metafields.shopify.frame-style),Gameplay skills (product.metafields.shopify.gameplay-skills),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media access (product.metafields.shopify.media-access),Media theme (product.metafields.shopify.media-theme),Orientation (product.metafields.shopify.orientation),Publication frequency (product.metafields.shopify.publication-frequency),Recommended age group (product.metafields.shopify.recommended-age-group),Target audience (product.metafields.shopify.target-audience),Theme (product.metafields.shopify.theme),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
wahi-hamara-krishna-hindi,"वही हमारा कृष्ण Wahi Hamara Krishna, Hindi","<p>लेखक</p>
<p>सय्यदना हज़रत मिर्ज़ा बशीरुद्दीन महमूद अहमद ख़लीफ़तुल मसीह द्वितीय रजि०</p>
<p>प्रकाशक की ओर से</p>
<p>सय्यदना हज़रत मिर्ज़ा बशीरउद्दीन महमूद अहमद साहिब मुस्लेह मौऊद रज़ि० इमाम जमाअत अहमदिया ने यह लेख हिन्दू भाइयों के लिए 1936 ई० में लिखा था। जिसमें उनको एकेश्वरवाद की ओर लौटने और समस्त मानवजाति से प्रेमपूर्वक व्यवहार करने तथा इस युग के अवतार को स्वीकार करने की आवश्यकता पर अत्यंत सहानुभूति पूर्वक ध्यान आकर्षित करवाया। यह लेख 29 मार्च 1936 ई० को ट्रैक्ट के रूप में और 12 अप्रैल 1936 ई० को अख़बार अलफ़ज़ल क़ादियान में प्रकाशित हुआ। मजलिस शूरा भारत 2017 ई० की सिफारिश पर सय्यदना हुज़ूर अनवर की स्वीकृति से इस पुस्तिका का भारत की क्षेत्रीय भाषाओं में अनुवाद प्रकाशित किया जा रहा है। पाठकगणों की सेवा में इसका हिंदी अनुवाद प्रस्तुत है।</p>
<p>नाज़िर नश्र व इशाअत</p>
<p>क़ादियान</p>
<p> </p>",AMI Bookstore,Media > Books > Print Books,Books,"Books by Khalifatul Masih II, Hindi, Islam Ahmadiyya",true,Title,Default Title,,,,,,,,'0768,85.048569375,shopify,20,deny,manual,2.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0718/1906/7667/files/Wahi_hamara_krishna.jpg?v=1774452446,1,Book cover with decorative elements and text on a gray background,false,,,543543,,,,,,,,,,,12-02-A,,Hindi,,,,,,,paperback,,,,,,religion-spirituality; self-help-personal-development,hin-hindi,,,,,,adults; suitable-for-all-ages,,,,,,,,oz,,0.25,true,,,true,,,active
wahi-hamara-krishna-hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/Wahi_hamara_krishna_page_2.jpg?v=1774456397,2,Book cover with text on a light blue background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how-to-be-free-from-sin-hindi,गुनाह से नजात कैसे मिल सकती है? How to be free from Sin? Hindi,"<p>लेखक</p>
<p>हज़रत मिर्ज़ा गुलाम अहमद क़ादियानी</p>
<p>मसीह मौऊद व महदी माऊद अलैहिस्सलाम</p>",AMI Bookstore,Media > Books > Print Books,Books,"Books by the Promised Messiah, Books of the Promised Messiah, Hindi, Other Languages",true,Title,Default Title,,,,,,,,'0767,56.69904625,shopify,20,deny,manual,3.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/How_to_be_free_from_Sin_Hindi.png?v=1774446702,1,Book cover with text and arrows on a white background,false,,,543543,,,,,,,,,,,12-02-A,,Hindi,,,,,,,paperback,,,,,,religion-spirituality,hin-hindi,,,,,,suitable-for-all-ages; adults,,,,,,,,oz,,0.50,true,,,true,,,active
how-to-be-free-from-sin-hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/How_to_be_free_from_Sin_Hindi_backcover.jpg?v=1774446738,2,Brown book cover with text on a white background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how-to-be-free-from-sin-hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/How_to_be_free_from_Sin_Hindi_page_1.jpg?v=1774446794,3,Text document in hindi with a white background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how-to-be-free-from-sin-hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/How_to_be_free_from_Sin_Hindi_page_2.jpg?v=1774446839,4,Page from a book in Hindi with text.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meyar-ul-mazahib-hindi,"मैयारुल मज़ाहिब Meyar-ul-Mazahib, Hindi","<p>प्रकाशक की ओर से</p>
<p>हज़रत मिर्ज़ा गुलाम अहमद साहिब क़ादियानी मसीह मौऊद व महदी मा'हूद अलैहिस्सलाम द्वारा लिखित पुस्तक का यह हिन्दी अनुवाद श्री डॉ० अन्सार अहमद ने किया है और तत्पश्चात मुकर्रम शेख़ मुजाहिद अहमद शास्त्री (सदर रिव्यू कमेटी), मुकर्रम फ़रहत अहमद आचार्य (इंचार्ज हिन्दी डेस्क), मुकर्रम अली हसन एम. ए. और मुकर्रम नसीरुल हक़ आचार्य ने इसकी प्रूफ रीडिंग और रिव्यू आदि किया है। अल्लाह तआला इन सब को उत्तम प्रतिफल प्रदान करे।</p>
<p>इस पुस्तक को हज़रत ख़लीफ़तुल मसीह ख़ामिस अय्यदहुल्लाहु तआला बिनस्रिहिल अज़ीज़ (जमाअत अहमदिया के वर्तमान ख़लीफ़ा) की अनुमति से हिन्दी प्रथम संस्करण के रूप में प्रकाशित किया जा रहा है।</p>
<p>विनीत</p>
<p>हाफ़िज़ मख़दूम शरीफ़</p>
<p>नाज़िर नश्र व इशाअत क़ादियान</p>
<p>Hindi translation of معیار المذاہب/ Criterion od Relegions</p>",AMI Bookstore,Media > Books > Print Books,Books,"Books by the Promised Messiah, Books of the Promised Messiah, Hindi, Other Languages",true,Title,Default Title,,,,,,,,'0766,113.3980925,shopify,20,deny,manual,3.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/Meyar-ul-Mazahib_Hindi.jpg?v=1774442789,1,Green book with a tree illustration and text on a white background,false,,,543543,,,,,,,,,,,12-02-A,,Hindi,,,,,,,paperback,,,,,,religion-spirituality,hin-hindi,,,,,,suitable-for-all-ages; adults,,,,,,,,oz,,0.50,true,,,true,,,active
meyar-ul-mazahib-hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/Meyar-ul-Mazahib-Hindi_backcover.jpg?v=1774442844,2,Yellow book cover with black text on a white background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meyar-ul-mazahib-hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/Meyar-ul-Mazahib_Hindi_page_1.jpg?v=1774442897,3,Text document in hindi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meyar-ul-mazahib-hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/Meyar-ul-Mazahib_Hindi_page_2.jpg?v=1774442945,4,Text in hindi on a white page ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tajalliyate-ilahiyya-hindi,"तजल्लियात-ए-इलाहिया Tajalliyate Ilahiyya, Hindi","<p>हज़रत मिर्ज़ा ग़ुलाम अहमद क़ादियानी मसीह मौऊद व महदी माहूद अलैहिस्सलाम</p>
<p>प्रकाशक की ओर से</p>
<p>हज़रत मिर्ज़ा गुलाम अहमद साहिब क़ादियानी मसीह मौऊद व महदी मा'हूद अलैहिस्सलाम द्वारा लिखित पुस्तक का यह हिन्दी अनुवाद श्री डॉ० अन्सार अहमद ने किया है और तत्पश्चात मुकर्रम शेख मुजाहिद अहमद शास्त्री (सदर रिव्यू कमेटी), मुकर्रम फ़रहत अहमद आचार्य (इंचार्ज हिन्दी डेस्क), मुकर्रम अली हसन एम. ए. और मुकर्रम नसीरुल हक़ आचार्य ने इसकी प्रूफ रीडिंग और रिव्यू आदि किया है। अल्लाह तआला इन सब को उत्तम प्रतिफल प्रदान करे।</p>
<p>इस पुस्तक को हज़रत ख़लीफ़तुल मसीह ख़ामिस अय्यदहुल्लाहु तआला बिनस्रिहिल अज़ीज़ (जमाअत अहमदिया के वर्तमान ख़लीफ़ा) की अनुमति से हिन्दी प्रथम संस्करण के रूप में प्रकाशित किया जा रहा है।</p>
<p>विनीत</p>
<p>हाफ़िज़ मख़दूम शरीफ़</p>
<p>नाज़िर नश्र व इशाअत क़ादियान</p>",AMI Bookstore,Media > Books > Print Books,Books,"Books by the Promised Messiah, Books of the Promised Messiah, Hindi, Other Languages",true,Title,Default Title,,,,,,,,'0765,113.3980925,shopify,20,deny,manual,3.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0718/1906/7667/files/Tajalliyate_Ilahiyya_Hindi.jpg?v=1774439805,1,Blue book cover with text on a white background,false,,,543543,,,,,,,,,,,,,Hindi,,,,,,,paperback,,,,,,religion-spirituality,hin-hindi,,,,,,suitable-for-all-ages; adults,,,,,,,,oz,,0.50,true,,,true,,,active
tajalliyate-ilahiyya-hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/Tajalliyate_Ilahiyya_Hindi_backcover.jpg?v=1774439837,2,Blue book cover with white text on a white background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tajalliyate-ilahiyya-hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/Tajalliyate_Ilahiyya_Hindi_page_1.jpg?v=1774439872,3,Text page from a book in hindi with a white background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tajalliyate-ilahiyya-hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/Tajalliyate_Ilahiyya_Hindi_page_2.jpg?v=1774439921,4,Text in hindi with a white background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafi-ul-bala-hindi,दाफ़िउल बला Dafi-ul-Bala Hindi,"<p>लेखक</p>
<p>हज़रत मिर्ज़ा ग़ुलाम अहमद क़ादियानी</p>
<p>मसीह मौऊद व महदी माहूद अलैहिस्सलाम</p>
<p>पुस्तक परिचय</p>
<p>दाफ़िउल बला-व-मैयार अहलिलइस्तिफ़ा</p>
<p>यह पुस्तक आपने अप्रैल 1902 ई. में प्रकाशित की जबकि पंजाब में ताऊन का बहुत ज़ोर था। इस पुस्तक में ताऊन से संबंधित आप ने उन इल्हामों का वर्णन किया है जिन में ताऊन का संक्रामक रोग फैलने के बारे में भविष्यवाणी थी। और यह भी बताया गया था कि ताऊन संसार में इसलिए आई है कि ख़ुदा के मसीह का न केवल इन्कार किया गया अपितु उसे दुख दिया गया, उसे क़त्ल करने की योजनाएं बनाई गईं, उसका नाम काफ़िर और दज्जाल रखा गया। और पहली किताबों में भविष्यवाणी पाई जाती थी कि मसीह मौऊद के प्रादुर्भाव के समय भयंकर ताऊन पड़ेगी और फ़रमाया कि उसका निश्चित उपचार तो यही है कि इस मसीह को सच्चे हृदय और निष्कपटतापूर्वक स्वीकार किया जाए और अपने जीवनों में एक रूहानी परिवर्तन पैदा किया जाए तथा ख़ुदा को इल्हाम के आधार पर आपने यह घोषणा की -</p>
<p>""खुदा तआला बहरहाल जब तक कि ताऊन संसार में रहे यद्यपि सत्तर वर्ष तक रहे क़ादियन को उसकी भयंकर तबाही से सुरक्षित रखेगा।""</p>
<p>(इसी जिल्द का पृष्ठ-238)</p>
<p>और फ़रमाया -</p>
<p>""मेरा यही निशान है कि प्रत्येक विरोधी चाहे वह अमरोहा में रहता है, चाहे अमृतसर में, चाहे देहली में, चाहे कलकत्ता में, चाहे लाहौर में, चाहे गोलड़ा में और चाहे बटाला में यदि वह क़सम खा कर कहेगा कि उसका अमुक स्थान ताऊन से मुक्त रहेगा तो अवश्य वह स्थान ताऊन में ग्रस्त हो जाएगा। क्योंकि उसने ख़ुदा तआला के मुकाबले पर धृष्टता की। (पृष्ठ-238)</p>
<p>परन्तु किसी विरोधी को ऐसी घोषणा करने का साहस न हुआ और ताऊन का संक्रामक रोग पहली किताबों की भविष्यवाणियों के अनुसार हज़रत मसीह मौऊद अलैहिस्सलाम की सच्चाई का एक ज़बरदस्त निशान सिद्ध हुआ।</p>",AMI Bookstore,Media > Books > Print Books,Books,"Books by the Promised Messiah, Books of the Promised Messiah, Hindi, Other Languages",true,Title,Default Title,,,,,,,,'0730,113.3980925,shopify,20,deny,manual,3.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0718/1906/7667/files/Dafi-ul-Bala_Hindi.jpg?v=1774388099,1,Book cover with blue abstract design and text on a white background,false,,,543543,,,,,,,,,,,12-02-A,,Hindi,,,,,,,paperback,,,,,,religion-spirituality,hin-hindi,,,,,,adults; suitable-for-all-ages,,,,,,,,oz,,0.30,true,,,true,,,active
dafi-ul-bala-hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/Dafi-ul-Bala_Hindi_backcover.jpg?v=1774388120,2,Blue book titled 'Dafa-ul-Bala' with white text on a light gray background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafi-ul-bala-hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/Dafi-ul-Bala_Hindi_page_one.jpg?v=1774388181,3,Text document in hindi language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafi-ul-bala-hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0718/1906/7667/files/Dafi-ul-Bala_Hindi_page_two.jpg?v=1774388212,4,Text document in hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
